,Name,Price,rating,Images,Links
0,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,499",4.4,https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/d/n/p/narzo-50a-rmx3430-realme-original-imag75kymngzyabx.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYYNSGSOP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG6MY4UGGFQWYY.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
1,"realme C20 (Cool Blue, 32 GB)","₹7,499",4.4,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/w/h/q/c20-rmx3063-realme-original-imagfxfzay72jqvh.jpeg?q=70,https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGF4894MEWZJGV.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
2,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499",4.4,https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/d/n/p/narzo-50a-rmx3430-realme-original-imag75kymngzyabx.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8WFCDOI&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG6MY4JGHHADW8.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
3,"realme C20 (Cool Grey, 32 GB)","₹7,499",4.4,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/7/9/u/c20-rmx3063-realme-original-imagfxfzjrkqtbhe.jpeg?q=70,https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBGF489SQZCFHYA.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
4,"realme C21Y (Cross Black, 64 GB)","₹10,499",4.5,https://rukminim1.flixcart.com/image/312/312/ksnjp8w0/mobile/h/u/u/c21y-rmx3261-realme-original-imag65kcafgjqknz.jpeg?q=70,https://www.flipkart.com/realme-c21y-cross-black-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKQVSRBYGJ&lid=LSTMOBG5ZGKQVSRBYGJZFAT5X&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG5ZGKQVSRBYGJ.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
5,"realme C21Y (Cross Black, 32 GB)","₹9,499",4.6,https://rukminim1.flixcart.com/image/312/312/ksnjp8w0/mobile/h/u/u/c21y-rmx3261-realme-original-imag65kcafgjqknz.jpeg?q=70,https://www.flipkart.com/realme-c21y-cross-black-32-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKG2HRSQB8&lid=LSTMOBG5ZGKG2HRSQB8GXA6DH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG5ZGKG2HRSQB8.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
6,"realme C21Y (Cross Blue, 64 GB)","₹10,499",4.5,https://rukminim1.flixcart.com/image/312/312/ksnjp8w0/mobile/k/o/m/c21y-rmx3261-realme-original-imag65kcytrk8dtr.jpeg?q=70,https://www.flipkart.com/realme-c21y-cross-blue-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKRUBBZFBR&lid=LSTMOBG5ZGKRUBBZFBRXORTMH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG5ZGKRUBBZFBR.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
7,"realme C21Y (Cross Blue, 32 GB)","₹9,499",4.6,https://rukminim1.flixcart.com/image/312/312/ksnjp8w0/mobile/k/o/m/c21y-rmx3261-realme-original-imag65kcytrk8dtr.jpeg?q=70,https://www.flipkart.com/realme-c21y-cross-blue-32-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKXCGFB9HP&lid=LSTMOBG5ZGKXCGFB9HPV9WVWE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG5ZGKXCGFB9HP.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
8,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499",4.4,https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/q/a/c/narzo-50a-rmx3430-realme-original-imag75kybaer8scz.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGGPJGZV1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG6MY4X6JDZMGG.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
9,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499",4.4,https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/q/a/c/narzo-50a-rmx3430-realme-original-imag75kybaer8scz.jpeg?q=70,https://www.flipkart.com/realme-narzo-50a-oxygen-green-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4DNG9688H&lid=LSTMOBG6MY4DNG9688HVBPJHK&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=clp_metro_expandable_1_3.metroExpandable.METRO_EXPANDABLE_Shop%2BNow_mobile-phones-store_Q1PDG4YW86MF_wp3&fm=organic&iid=58e70c0b-381a-4428-8487-6676dabd6d36.MOBG6MY4DNG9688H.SEARCH&ppt=None&ppn=None&ssid=ijm47e9wsw0000001646411919142
